Formula,Name,total targets,positive targets,positive targets decimal,weighted and averaged limit [mg/kg/day],Effectgroup
O3,Ozone,55,12,8.5,3469.125,MGR
O3,Ozone,48,23,23.500999999999998,87704.346,DEV
O3,Ozone,74,18,17.102999999999998,94654.43500000001,SAC
O3,Ozone,78,24,27.83,9685.57155,CHR
O3,Ozone,92,32,33.754,84568.60789749998,SUB
C10H16O2,3-Isopropenyl-6-oxo-heptanal,53,4,4.0,560.0,MGR
C10H16O2,3-Isopropenyl-6-oxo-heptanal,55,29,31.153,105303.36472817462,DEV
C10H16O2,3-Isopropenyl-6-oxo-heptanal,43,3,3.0,61250.0,SAC
C10H16O2,3-Isopropenyl-6-oxo-heptanal,34,10,10.0,47812.5,REP
C10H16O2,3-Isopropenyl-6-oxo-heptanal,60,5,8.599,47705.14879999999,CHR
C10H16O2,3-Isopropenyl-6-oxo-heptanal,86,18,23.104999999999997,180007.59185603168,SUB
C8H14O,6-Methyl-5-hepten-2-one,92,31,33.057,217667.04906593403,SUB
C8H14O,6-Methyl-5-hepten-2-one,34,10,10.0,20269.230769230762,REP
C8H14O,6-Methyl-5-hepten-2-one,56,6,7.75,12210.221472509158,CHR
C8H14O,6-Methyl-5-hepten-2-one,58,34,34.753,83943.21579487182,DEV
CH3CHO,Acetaldehyde,59,17,16.881999999999998,42238.867125000004,MGR
CH3CHO,Acetaldehyde,42,18,19.232,37290.5565,DEV
CH3CHO,Acetaldehyde,51,6,8.109,859.2290333333334,SAC
CH3CHO,Acetaldehyde,33,4,4.962,284.18,REP
CH3CHO,Acetaldehyde,77,22,26.598000000000003,92372.02307333333,CHR
CH3CHO,Acetaldehyde,93,33,37.00900000000002,165337.13294555334,SUB
C10H16,D-Limonene,57,8,11.967999999999998,87080.62390214285,MGR
C10H16,D-Limonene,38,13,13.206000000000001,50240.221428571436,DEV
C10H16,D-Limonene,63,9,7.704999999999999,17437.992080000004,SAC
C10H16,D-Limonene,77,26,29.480999999999998,69375.49785990478,CHR
C10H16,D-Limonene,96,31,35.52399999999999,230734.1889214286,SUB
N2,Nitrogen,89,31,29.458,8060.357599999997,SUB
N2,Nitrogen,84,35,37.053,4267.9325,CHR
N2,Nitrogen,40,3,3.0,43.75,MGR
N2,Nitrogen,35,12,12.850999999999999,15145.335000000001,DEV
CO2,Carbon dioxide,48,9,12.855,16475.9675,MGR
CO2,Carbon dioxide,49,24,25.482999999999993,94434.88000000002,DEV
CO2,Carbon dioxide,54,10,17.0,161375.0,SAC
CO2,Carbon dioxide,92,37,45.103000000000016,37591.27448466667,CHR
CO2,Carbon dioxide,100,39,43.81299999999998,172850.40226749994,SUB
CH2O,Formaldehyde,47,10,12.541999999999998,11249.897999999997,MGR
CH2O,Formaldehyde,46,19,21.070000000000007,38230.93000000001,DEV
CH2O,Formaldehyde,53,22,22.0,194958.0,SAC
CH2O,Formaldehyde,72,17,22.433999999999997,30239.856280000004,CHR
CH2O,Formaldehyde,100,45,48.129999999999995,162700.78285499994,SUB
